time,value,group,percentage
01/05/2010,12308.8,D,0.006188882
01/05/2010,52038,E,0.02616478
01/05/2010,886.3,F,0.000445633
01/06/2010,1536268.5,A,0.767662138
01/06/2010,126898.3,B,0.063410153
01/06/2010,274820,C,0.137325545
01/06/2010,12276.3,D,0.006134377
01/06/2010,50966.9,E,0.025467787
01/06/2010,1213,F,0.000606127
01/07/2010,1535664.9,A,0.763597196
01/07/2010,126808.4,B,0.063054472
01/07/2010,284763.6,C,0.141596442
01/07/2010,12290.5,D,0.006111354
01/07/2010,51565.6,E,0.025640586
01/07/2010,1227.3,F,0.000610265
01/08/2010,1556066.8,A,0.766568222
01/08/2010,125225.8,B,0.06169023
01/08/2010,283210.4,C,0.139518492
01/08/2010,11973.9,D,0.005898726
01/08/2010,53436.2,E,0.026324379
01/08/2010,1200.5,F,0.000591405
01/09/2010,1579522.2,A,0.769278521
01/09/2010,126253.8,B,0.061489694
01/09/2010,285382.7,C,0.138990627
01/09/2010,12002.8,D,0.005845753
01/09/2010,50089.9,E,0.024395405
01/09/2010,1285.9,F,0.000626275
01/10/2010,1603289.6,A,0.774460688
01/10/2010,125596.5,B,0.060668735
01/10/2010,278021.5,C,0.134296837
01/10/2010,12016.6,D,0.005804556
01/10/2010,51277.1,E,0.024769136
01/10/2010,937.8,F,0.000452999
01/11/2010,1626395.4,A,0.774986487
01/11/2010,127726.9,B,0.060862581
01/11/2010,282958.2,C,0.134831162
01/11/2010,11702.9,D,0.005576497
01/11/2010,49827.9,E,0.023743273
01/11/2010,1003.8,F,0.000478316
01/12/2010,1645961.7,A,0.774379004
01/12/2010,124779.7,B,0.058705363
01/12/2010,294844.3,C,0.138716007
01/12/2010,11323.3,D,0.005327296
01/12/2010,48615.7,E,0.022872329
01/12/2010,1592.4,F,0.00074918
01/01/2011,1656923.8,A,0.782735398
01/01/2011,111889.4,B,0.052856863
01/01/2011,287504.8,C,0.135818065
01/01/2011,13835.9,D,0.006536118
01/01/2011,46683.8,E,0.022053557
01/01/2011,1367.3,F,0.000645916
01/02/2011,1677196.3,A,0.779104955
01/02/2011,110145,B,0.051165457
01/02/2011,304116.8,C,0.141270826
01/02/2011,13525.1,D,0.00628279
01/02/2011,47738.7,E,0.022175972
01/02/2011,1358.6,F,0.000631108
01/03/2011,1703111.1,A,0.78374218
